"data","titulo","url","noticia"
"28/04/2023","CITROS/CEPEA: Cotações da tahiti sobem, enquanto as da laranja pera e da poncã seguem em baixa","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/citros-cepea-cotacoes-da-tahiti-sobem-enquanto-as-da-laranja-pera-e-da-ponca-seguem-em-baixa.aspx","Cepea, 28/04/2023 – Diferentemente da laranja e da tangerina poncã, cujos valores estão em queda neste mês, os preços da lima ácida tahiti continuam avançando, sustentados pelo baixo volume da fruta – vale lembrar que a colheita registrou pico no primeiro bimestre de 2023, com o volume disponível diminuindo no segundo bimestre. Especificamente nesta última semana do mês, os valores da lima ácida tahiti têm se enfraquecido. Segundo pesquisadores do Cepea, alguns produtores relacionam esse cenário às recentes chuvas nas principais regiões, que aceleraram a maturação da fruta, elevando a oferta no mercado. Além disso, a proximidade de mais um feriado restringiu a comercialização da tahiti nos últimos dias. Ainda assim, os preços seguem remuneradores. Na parcial desta semana (segunda a quinta-feira), a tahiti tem média de R$ 21,59/cx de 27 kg, colhida, leve queda de 18,6% em comparação com a semana passada. Já para a laranja pera, apesar da baixa oferta, as cotações vêm sendo pressionadas pela entrada das precoces, como hamlin, westin e rubi, no mercado. Quando à tangerina poncã, as quedas estão atreladas ao aumento da oferta, visto que as atividades de colheita se intensificaram neste mês. Fonte: Cepea ("
"27/04/2023","SUÍNOS/CEPEA: Carne suína ganha competitividade frente às concorrentes","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/suinos-cepea-carne-suina-ganha-competitividade-frente-as-concorrentes.aspx","Cepea, 27/04/2023 – Os valores de comercialização da carne suína seguem registrando quedas em abril – trata-se do segundo mês consecutivo de baixa. Segundo levantamento do Cepea, o fraco consumo interno nesta final de segunda quinzena tem pressionado as cotações. De março para abril (até o dia 25), o preço da carcaça especial suína negociada no atacado da Grande São Paulo registrou forte recuo de 8%, com a média atual a R$ 9,76/kg. Quanto às carnes concorrentes, o valor da de frango também está recuando neste mês, mas em menor intensidade. Já para a carne bovina, o movimento é de leve valorização. Neste cenário, a competitividade da carne suína vem avançando frente às concorrentes. Fonte: Cepea ("
"27/04/2023","BOI/CEPEA: Milho e animal de reposição em queda podem favorecer confinador","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/boi-cepea-milho-e-animal-de-reposicao-em-queda-podem-favorecer-confinador.aspx","Cepea, 27/04/2023 – As desvalorizações do milho e do boi magro nos primeiros meses de 2023 vêm gerando certa expectativa positiva para os pecuaristas que realizam a terminação do animal para abate em confinamento. Conforme cálculos do Cepea realizados em parceria com a CNA, a alimentação (grãos, sobretudo) pode corresponder de 25% a 35% do Custo Operacional Efetivo (COE) da atividade pecuária, dependendo da região, ao passo que o animal de reposição pode representar entre 63% e 73% do custo. Por outro lado, os valores do boi gordo estão enfraquecidos, o que acaba gerando certa apreensão entre pecuaristas terminadores. Fonte: Cepea ("
"","ALGODÃO/CEPEA: Indicador cai mais de 10% em abril e chega a ficar abaixo da paridade de exportação","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/algodao-cepea-indicador-cai-mais-de-10-em-abril-e-chega-a-ficar-abaixo-da-paridade-de-exportacao.aspx","Cepea, 26/4/2023 – Os preços internos do algodão em pluma, que estão em queda desde meados de fevereiro, têm caído com ainda mais intensidade neste mês. Desde o dia 11 de abril, o Indicador CEPEA/ESALQ, com pagamento em 8 dias, vem registrando quedas diárias, acumulando forte baixa de 10,5% na parcial do mês. Inclusive, na semana passada, a cotação nacional chegou a operar por dois dias abaixo da paridade de exportação, o que não era verificado desde 25 de julho de 2022. Segundo pesquisadores do Cepea, aumentos nos preços externos e/ou da taxa de câmbio poderiam trazer suporte aos valores domésticos. No entanto, ainda que o dólar tenha se fortalecido nos últimos dias, os contratos externos da pluma seguem em queda. Diante disso, o que se verifica no mercado spot nacional é um grande desacordo entre os preços de vendedores e os de compradores, o que mantém a liquidez baixa. Fonte: Cepea ("
"26/04/2023","CAFÉ/CEPEA: Colheita da safra 2023/24 se inicia no BR; comercialização segue limitada","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/cafe-cepea-colheita-da-safra-2023-24-se-inicia-no-br-comercializacao-segue-limitada.aspx","Cepea, 26/04/2023 – Alguns produtores dos cafés robusta e arábica deram início à colheita da safra 2023/24 nos últimos dias, influenciados por preocupações com os efeitos do clima nas lavouras. Segundo colaboradores consultados pelo Cepea, os trabalhos estão progredindo gradualmente. Quanto à comercialização, nos últimos meses, ocorreu de maneira bastante limitada, uma vez que os vendedores não estão tão dispostos a negociar nos preços ofertados por compradores. Agentes relatam que, nos momentos de alta de preços, em especial na Bolsa de Nova York (onde o arábica é negociado), vendedores têm preferido esperar por aumentos mais significativos, levando compradores a pagar um pouco mais para garantir maiores lotes. Mesmo assim, as negociações acabam sendo bastante pontuais. Fonte: Cepea ("
"26/04/2023","ARROZ/CEPEA: Valores do casca se mantêm praticamente estáveis no RS","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/arroz-cepea-valores-do-casca-se-mantem-praticamente-estaveis-no-rs.aspx","Cepea, 26/04/2023 – Os preços do arroz em casca vêm registrando apenas ligeiras oscilações no mercado spot do Rio Grande do Sul. De acordo com colaboradores do Cepea, parte dos agentes do setor retomou, de forma gradual, as compras do cereal na semana passada, elevando a liquidez e sustentando os preços no estado. Entretanto, o interesse de produtores em novas negociações esteve limitado, uma vez que esses agentes têm expectativas de valores maiores, devido à necessidade de compra dos engenhos. Por outro lado, casos isolados de maior oferta de orizicultores foram registrados. Isso porque esses vendedores consideram que os valores internos têm se aproximado do patamar mínimo aceitável, que é a paridade de exportação. Fonte: Cepea ("
"25/04/2023","AÇÚCAR/CEPEA: Indicador alcança a casa dos R$ 142/sc","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/acucar-cepea-indicador-alcanca-a-casa-dos-r-142-sc.aspx","Cepea, 25/04/2023 – O volume de chuva registrado na maior parte do estado de São Paulo atrasou o avanço da colheita da cana-de-açúcar nos últimos dias, dificultando a moagem e reforçando o contexto de baixa oferta de açúcar cristal branco. De acordo com dados do Cepea, alguns compradores, temendo ficar sem o adoçante, adquiriram o cristal a preços mais elevados, enquanto outros, estocados, preferiram esperar por valores mais atrativos para negociar, deixando o mercado com pouco movimento. Nesse cenário, os preços médios do açúcar seguiram em alta no mercado spot de São Paulo, e, após um ano, o Indicador CEPEA/ESALQ do cristal branco voltou para a casa dos R$ 142,00 por saca de 50 kg. Fonte: Cepea ("
"25/04/2023","ETANOL/CEPEA: Clima sustenta valores dos etanóis neste início de safra","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/etanol-cepea-clima-sustenta-valores-dos-etanois-neste-inicio-de-safra.aspx","Cepea, 25/04/2023 – Parte das usinas que já iniciou a temporada 2023/24 mostra dificuldades na retirada da matéria-prima do campo e, consequentemente, na produção dos etanóis, em decorrência da continuidade das chuvas nas principais regiões produtoras do Centro-Sul do Brasil. Segundo colaboradores do Cepea, este cenário vem dando sustentação aos preços dos biocombustíveis. Além disso, o aquecimento dos negócios envolvendo o hidratado e o anidro no estado de São Paulo também ofereceu suporte às cotações. Alguns compradores, no entanto, focaram na retirada de produto adquirido anteriormente em algumas poucas usinas que voltaram a moer nos últimos dias. Fonte: Cepea ("
"25/04/2023","TRIGO/CEPEA: Preços caem no BR, mesmo com alta do dólar","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/trigo-cepea-precos-caem-no-br-mesmo-com-alta-do-dolar.aspx","Cepea, 25/04/2023 – Apesar da valorização de 2,7% do dólar frente ao Real entre 14 e 20 de abril, fechando a R$ 5,052 na quinta-feira, 20, os preços continuaram em queda no mercado interno na semana passada. De acordo com dados do Cepea, a pressão esteve atrelada sobretudo à baixa demanda por parte de moinhos. Muitos produtores, por sua vez, seguem afastados do mercado, atentos ao campo e indicando que os valores atuais de negociação do trigo não são atrativos. Esse cenário, atrelado ao feriado de Tiradentes, manteve o ritmo de negócios bastante lento – apenas lotes pontuais foram comercializados. Fonte: Cepea ("
"25/04/2023","MELANCIA/CEPEA: Preços recuam em todas as regiões produtoras","https://www.cepea.esalq.usp.br/br/diarias-de-mercado/melancia-cepea-precos-recuam-em-todas-as-regioes-produtoras.aspx","Cepea, 25/04/2023 – Os preços da melancia caíram nas praças produtoras e no atacado na semana passada. No geral, segundo colaboradores do Hortifruti/Cepea, o mercado está se desaquecendo, principalmente pelo início das estações mais frias, o que desfavorece a demanda pela fruta, e pelo feriado de Tiradentes no final da semana. Os preços da melancia graúda (>12 kg) tiveram média de R$ 1,04/kg em SP e de R$ 0,93/kg em Teixeira de Freitas (BA) na semana passada, recuos expressivos de 23,6% e 33,9% frente ao período anterior. As chuvas nas lavouras paulistas deixaram a qualidade aquém do esperado. Por outro lado, as frutas de Uruana (GO) estão se desenvolvendo em clima favorável de calor e chuvas pontuais. Já em Teixeira de Freitas (BA), a safra está se encaminhando para o fim, com poucas frutas chegando ao Sudeste. Fonte: Cepea/Hortifruti ("
